date,cash,equity,margin,market_value,pnl,unrealized_pnl,fees
2020-01-02,10000.0,10000.0,0.0,10000.0,0.0,0.0,0.0
2020-01-03,399.71,10075.49,0.0,10075.49,75.49,0.0,0.0
2020-01-06,399.71,9996.76,0.0,9996.76,-3.24,0.0,0.0
2020-01-07,294.18,10114.98,0.0,10114.98,114.98,0.0,0.0
2020-01-08,380.35,10123.83,0.0,10123.83,123.83,0.0,0.0
2020-01-09,159.89,10331.01,0.0,10331.01,331.01,0.0,0.0
2020-01-10,197.82,10440.49,0.0,10440.49,440.49,0.0,0.0
2020-01-13,197.82,10632.24,0.0,10632.24,632.24,0.0,0.0
2020-01-14,144.37,10696.25,0.0,10696.25,696.25,0.0,0.0
2020-01-15,144.37,10658.89,0.0,10658.89,658.89,0.0,0.0
2020-01-16,101.32,10856.38,0.0,10856.38,856.38,0.0,0.0
2020-01-17,151.37,10941.67,0.0,10941.67,941.67,0.0,0.0
2020-01-21,320.88,10869.95,0.0,10869.95,869.95,0.0,0.0
2020-01-22,142.66,10775.4,0.0,10775.4,775.4,0.0,0.0
2020-01-23,178.96,10840.48,0.0,10840.48,840.48,0.0,0.0
2020-01-24,301.0,10791.65,0.0,10791.65,791.65,0.0,0.0
2020-01-27,301.0,10585.71,0.0,10585.71,585.71,0.0,0.0
2020-01-28,301.0,10693.3,0.0,10693.3,693.3,0.0,0.0
2020-01-29,301.0,10601.33,0.0,10601.33,601.33,0.0,0.0
2020-01-30,120.97,10549.22,0.0,10549.22,549.22,0.0,0.0
2020-01-31,137.43,10302.31,0.0,10302.31,302.31,0.0,0.0
2020-02-03,130.76,10291.57,0.0,10291.57,291.57,0.0,0.0
2020-02-04,132.64,10432.43,0.0,10432.43,432.43,0.0,0.0
2020-02-05,132.64,10594.62,0.0,10594.62,594.62,0.0,0.0
2020-02-06,132.64,10659.33,0.0,10659.33,659.33,0.0,0.0
2020-02-07,166.73,10559.0,0.0,10559.0,559.0,0.0,0.0
2020-02-10,168.39,10450.64,0.0,10450.64,450.64,0.0,0.0
2020-02-11,168.39,10630.29,0.0,10630.29,630.29,0.0,0.0
2020-02-12,188.27,10706.41,0.0,10706.41,706.41,0.0,0.0
2020-02-13,188.84,10616.11,0.0,10616.11,616.11,0.0,0.0
2020-02-14,188.84,10545.35,0.0,10545.35,545.35,0.0,0.0
2020-02-18,188.84,10697.53,0.0,10697.53,697.53,0.0,0.0
2020-02-19,272.67,10806.89,0.0,10806.89,806.89,0.0,0.0
2020-02-20,185.18,10821.49,0.0,10821.49,821.49,0.0,0.0
2020-02-21,185.18,10661.24,0.0,10661.24,661.24,0.0,0.0
2020-02-24,185.18,10177.66,0.0,10177.66,177.66,0.0,0.0
2020-02-25,187.99,9741.38,0.0,9741.38,-258.62,0.0,0.0
2020-02-26,116.21,9649.75,0.0,9649.75,-350.25,0.0,0.0
2020-02-27,190.3,9479.48,0.0,9479.48,-520.52,0.0,0.0
