id,type,symbol,entry_date,exit_date,entry,exit,shares,pnl,return_pct,agg_pnl,bars,pnl_per_bar,stop
1,long,RVLV,2020-01-03,2020-01-07,18.46,19.22,3,2.28,4.12,2.28,2,1.14,
2,long,EXPI,2020-01-03,2020-01-07,5.52,5.32,257,-51.4,-3.62,-49.12,2,-25.7,
3,long,MSB,2020-01-03,2020-01-07,23.6,23.99,1,0.39,1.65,-48.73,2,0.2,
4,long,INMD,2020-01-03,2020-01-08,18.19,18.86,5,3.35,3.68,-45.38,3,1.12,
5,long,TER,2020-01-07,2020-01-08,67.86,68.44,21,12.18,0.85,-33.2,1,12.18,
6,long,ULTA,2020-01-03,2020-01-09,250.85,262.86,5,60.05,4.79,26.85,4,15.01,
7,long,RVLV,2020-01-03,2020-01-10,18.46,19.49,2,2.06,5.58,28.91,5,0.41,
8,long,STKS,2020-01-09,2020-01-10,3.44,3.8,430,154.8,10.47,183.71,1,154.8,
9,long,INMD,2020-01-03,2020-01-10,18.19,21.55,5,16.8,18.47,200.51,5,3.36,
10,long,INMD,2020-01-03,2020-01-14,18.19,21.44,4,13.0,17.87,213.51,7,1.86,
11,long,VALE,2020-01-10,2020-01-14,13.04,13.46,113,47.46,3.22,260.97,2,23.73,
12,long,RVLV,2020-01-03,2020-01-16,18.46,20.67,4,8.84,11.97,269.81,9,0.98,
13,long,LSTR,2020-01-03,2020-01-16,112.65,118.15,12,66.0,4.88,335.81,9,7.33,
14,long,LSTR,2020-01-10,2020-01-16,113.8,118.15,1,4.35,3.82,340.16,4,1.09,
15,long,EXPD,2020-01-03,2020-01-16,77.34,80.22,18,51.84,3.72,392.0,9,5.76,
16,long,EXPD,2020-01-10,2020-01-16,77.26,80.22,1,2.96,3.83,394.96,4,0.74,
17,long,EXPI,2020-01-08,2020-01-16,5.15,5.44,7,2.03,5.63,396.99,6,0.34,
18,long,AMAT,2020-01-14,2020-01-17,62.82,63.17,24,8.4,0.56,405.39,3,2.8,
19,long,INMD,2020-01-03,2020-01-17,18.19,22.68,2,8.98,24.68,414.37,10,0.9,
20,long,TER,2020-01-16,2020-01-17,70.12,70.38,1,0.26,0.37,414.63,1,0.26,
21,long,VALE,2020-01-16,2020-01-21,13.19,13.36,114,19.38,1.29,434.01,2,9.69,
22,long,VALE,2020-01-17,2020-01-21,13.53,13.36,3,-0.51,-1.26,433.5,1,-0.51,
23,long,TER,2020-01-16,2020-01-21,70.12,71.12,21,21.0,1.43,454.5,2,10.5,
24,long,INMD,2020-01-03,2020-01-22,18.19,23.28,3,15.27,27.98,469.77,12,1.27,
25,long,ULTA,2020-01-21,2020-01-22,273.29,274.35,5,5.3,0.39,475.07,1,5.3,
26,long,EXPI,2020-01-08,2020-01-23,5.15,5.56,10,4.1,7.96,479.17,10,0.41,
27,long,VALE,2020-01-22,2020-01-23,13.41,13.2,117,-24.57,-1.57,454.6,1,-24.57,
28,long,INMD,2020-01-03,2020-01-24,18.19,24.95,55,371.8,37.16,826.4,14,26.56,
29,long,INMD,2020-01-07,2020-01-24,18.48,24.95,7,45.29,35.01,871.69,12,3.77,
30,long,INMD,2020-01-16,2020-01-24,21.88,24.95,4,12.28,14.03,883.97,5,2.46,
31,long,EXPI,2020-01-08,2020-01-24,5.15,5.75,259,155.4,11.65,1039.37,11,14.13,
32,long,EXPI,2020-01-09,2020-01-24,5.15,5.75,7,4.2,11.65,1043.57,10,0.42,
33,long,EXPI,2020-01-10,2020-01-24,5.11,5.75,6,3.84,12.52,1047.41,9,0.43,
34,long,EXPI,2020-01-14,2020-01-24,5.29,5.75,1,0.46,8.7,1047.87,7,0.07,
35,long,EXPI,2020-01-17,2020-01-24,5.41,5.75,2,0.68,6.28,1048.55,4,0.17,
36,long,EXPI,2020-01-21,2020-01-24,5.36,5.75,3,1.17,7.28,1049.72,3,0.39,
37,long,EXPI,2020-01-22,2020-01-24,5.51,5.75,2,0.48,4.36,1050.2,2,0.24,
38,long,RVLV,2020-01-03,2020-01-30,18.46,17.75,3,-2.13,-3.85,1048.07,18,-0.12,
39,long,ASML,2020-01-23,2020-01-30,294.33,292.62,5,-8.55,-0.58,1039.52,5,-1.71,
40,long,AMAT,2020-01-30,2020-01-31,60.72,58.69,25,-50.75,-3.34,988.77,1,-50.75,
41,long,VALE,2020-01-24,2020-01-31,12.98,11.71,1,-1.27,-9.78,987.5,5,-0.25,
