date,cash,equity,margin,market_value,pnl,unrealized_pnl,fees
2020-01-02,30000.0,30000.0,0.0,30000.0,0.0,0.0,0.0
2020-01-03,10826.31,30046.65,0.0,30046.65,46.65,0.0,0.0
2020-01-06,10612.39,30118.93,0.0,30118.93,118.93,0.0,0.0
2020-01-07,10540.92,30133.74,0.0,30133.74,133.74,0.0,0.0
2020-01-08,10587.38,30215.04,0.0,30215.04,215.04,0.0,0.0
2020-01-09,10705.5,30380.31,0.0,30380.31,380.31,0.0,0.0
2020-01-10,10730.79,30253.26,0.0,30253.26,253.26,0.0,0.0
2020-01-13,10775.94,30559.91,0.0,30559.91,559.91,0.0,0.0
2020-01-14,9430.72,30452.58,0.0,30452.58,452.58,0.0,0.0
2020-01-15,9307.65,30408.16,0.0,30408.16,408.16,0.0,0.0
2020-01-16,9528.18,30721.46,0.0,30721.46,721.46,0.0,0.0
2020-01-17,10922.28,30861.2,0.0,30861.2,861.2,0.0,0.0
2020-01-21,11115.03,30837.7,0.0,30837.7,837.7,0.0,0.0
2020-01-22,11090.06,30884.13,0.0,30884.13,884.13,0.0,0.0
2020-01-23,10991.83,31064.49,0.0,31064.49,1064.49,0.0,0.0
2020-01-24,11115.68,30889.71,0.0,30889.71,889.71,0.0,0.0
2020-01-27,11110.15,30410.65,0.0,30410.65,410.65,0.0,0.0
2020-01-28,10938.48,30717.5,0.0,30717.5,717.5,0.0,0.0
2020-01-29,11004.35,30591.7,0.0,30591.7,591.7,0.0,0.0
2020-01-30,9531.72,30652.22,0.0,30652.22,652.22,0.0,0.0
2020-01-31,10942.37,30226.1,0.0,30226.1,226.1,0.0,0.0
2020-02-03,10849.61,30521.32,0.0,30521.32,521.32,0.0,0.0
2020-02-04,11073.22,30951.4,0.0,30951.4,951.4,0.0,0.0
2020-02-05,11075.64,31039.25,0.0,31039.25,1039.25,0.0,0.0
2020-02-06,11429.92,31155.79,0.0,31155.79,1155.79,0.0,0.0
2020-02-07,11207.77,31052.43,0.0,31052.43,1052.43,0.0,0.0
2020-02-10,11236.23,31375.95,0.0,31375.95,1375.95,0.0,0.0
2020-02-11,11343.61,31414.88,0.0,31414.88,1414.88,0.0,0.0
