id,type,symbol,entry_date,exit_date,entry,exit,shares,pnl,return_pct,agg_pnl,bars,pnl_per_bar,stop
1,long,GE,2020-01-03,2020-01-16,73.47,74.32,23,19.55,1.16,19.55,9,2.17,
2,long,COHU,2020-01-03,2020-01-16,22.46,24.72,2,4.52,10.06,24.07,9,0.5,
3,long,AMD,2020-01-03,2020-01-17,48.47,50.48,1,2.01,4.15,26.08,10,0.2,
4,long,COHU,2020-01-03,2020-01-17,22.46,24.89,2,4.86,10.82,30.94,10,0.49,
5,long,INTC,2020-01-03,2020-02-04,60.26,65.49,1,5.23,8.68,36.17,21,0.25,
6,long,ADSK,2020-01-16,2020-02-04,192.31,202.35,1,10.04,5.22,46.21,12,0.84,
7,long,GE,2020-01-03,2020-02-04,73.47,78.1,4,18.52,6.3,64.73,21,0.88,
8,long,AMD,2020-01-03,2020-02-11,48.47,53.69,1,5.22,10.77,69.95,26,0.2,
9,long,MSFT,2020-01-03,2020-02-26,159.0,170.74,3,35.22,7.38,105.17,36,0.98,
10,long,HPQ,2020-01-03,2020-03-02,20.57,21.32,26,19.5,3.65,124.67,39,0.5,
11,long,HPQ,2020-01-03,2020-03-03,20.57,21.12,1,0.55,2.67,125.22,40,0.01,
12,long,AMD,2020-01-03,2020-03-03,48.47,47.93,1,-0.54,-1.11,124.68,40,-0.01,
13,long,AMD,2020-01-03,2020-03-04,48.47,48.67,1,0.2,0.41,124.88,41,0.0,
14,long,AMD,2020-01-03,2020-03-05,48.47,48.61,1,0.14,0.29,125.02,42,0.0,
15,long,HPQ,2020-01-03,2020-03-06,20.57,21.19,1,0.62,3.01,125.64,43,0.01,
16,long,COHU,2020-01-03,2020-03-06,22.46,19.36,2,-6.2,-13.8,119.44,43,-0.14,
17,long,HPQ,2020-01-03,2020-03-09,20.57,19.61,1,-0.96,-4.67,118.48,44,-0.02,
18,long,AMD,2020-01-03,2020-03-09,48.47,44.42,1,-4.05,-8.36,114.43,44,-0.09,
19,long,AMD,2020-01-03,2020-03-12,48.47,40.75,2,-15.44,-15.93,98.99,47,-0.33,
20,long,HPQ,2020-01-03,2020-03-16,20.57,15.02,4,-22.2,-26.98,76.79,49,-0.45,
21,long,HPQ,2020-02-11,2020-03-16,22.13,15.02,2,-14.22,-32.13,62.57,23,-0.62,
22,long,HPQ,2020-02-26,2020-03-16,23.1,15.02,1,-8.08,-34.98,54.49,13,-0.62,
23,long,INTC,2020-01-03,2020-03-17,60.26,48.42,2,-23.68,-19.65,30.81,50,-0.47,
24,long,IBM,2020-01-03,2020-03-19,128.31,96.52,1,-31.79,-24.78,-0.98,52,-0.61,
25,long,GE,2020-01-03,2020-03-19,73.47,40.78,1,-32.69,-44.49,-33.67,52,-0.63,
26,long,AMD,2020-01-03,2020-03-19,48.47,39.69,1,-8.78,-18.11,-42.45,52,-0.17,
27,long,TXN,2020-01-03,2020-03-19,128.24,101.06,1,-27.18,-21.19,-69.63,52,-0.52,
