symbol,date,long_shares,short_shares,close,equity,market_value,margin,unrealized_pnl
IBM,2017-01-04,43,0,161.82,6958.11,6958.11,0.0,26.51
HPQ,2017-01-04,471,0,15.08,7102.68,7102.68,0.0,23.55
INTC,2017-01-04,191,0,36.41,6954.31,6954.31,0.0,-28.65
GE,2017-01-04,36,0,190.36,6852.82,6852.82,0.0,-5.54
AMD,2017-01-04,2099,0,11.43,23991.57,23991.57,0.0,104.95
COHU,2017-01-04,1229,0,13.91,17095.39,17095.39,0.0,221.22
MSFT,2017-01-04,111,0,62.3,6915.3,6915.3,0.0,-14.43
TXN,2017-01-04,95,0,73.49,6981.55,6981.55,0.0,-11.4
CGNX,2017-01-04,537,0,32.29,17342.41,17342.41,0.0,179.89
IBM,2017-01-05,44,0,161.28,7096.37,7096.37,0.0,3.85
HPQ,2017-01-05,480,0,15.07,7233.6,7233.6,0.0,19.2
INTC,2017-01-05,191,0,36.35,6942.85,6942.85,0.0,-40.11
GE,2017-01-05,36,0,189.28,6813.91,6813.91,0.0,-44.45
AMD,2017-01-05,2099,0,11.24,23592.76,23592.76,0.0,-293.86
COHU,2017-01-05,1229,0,13.73,16874.17,16874.17,0.0,-0.0
MSFT,2017-01-05,111,0,62.3,6915.3,6915.3,0.0,-14.43
TXN,2017-01-05,95,0,72.92,6927.4,6927.4,0.0,-65.55
CGNX,2017-01-05,537,0,31.67,17004.11,17004.11,0.0,-158.41
IBM,2017-01-06,44,0,162.07,7131.28,7131.28,0.0,38.76
HPQ,2017-01-06,480,0,15.0,7200.0,7200.0,0.0,-14.4
INTC,2017-01-06,191,0,36.48,6967.68,6967.68,0.0,-15.28
GE,2017-01-06,36,0,189.82,6833.36,6833.36,0.0,-25.0
AMD,2017-01-06,2099,0,11.32,23760.68,23760.68,0.0,-125.94
COHU,2017-01-06,1229,0,13.46,16542.34,16542.34,0.0,-331.83
MSFT,2017-01-06,111,0,62.84,6975.24,6975.24,0.0,45.51
TXN,2017-01-06,95,0,74.15,7044.25,7044.25,0.0,51.3
CGNX,2017-01-06,537,0,31.63,16985.31,16985.31,0.0,-177.21
IBM,2017-01-09,44,0,160.28,7052.2,7052.2,0.0,-40.32
HPQ,2017-01-09,480,0,14.68,7046.4,7046.4,0.0,-168.0
INTC,2017-01-09,191,0,36.61,6992.51,6992.51,0.0,9.55
GE,2017-01-09,36,0,188.91,6800.94,6800.94,0.0,-57.42
AMD,2017-01-09,2099,0,11.49,24117.51,24117.51,0.0,230.89
COHU,2017-01-09,1229,0,13.45,16530.05,16530.05,0.0,-344.12
MSFT,2017-01-09,111,0,62.64,6953.04,6953.04,0.0,23.31
TXN,2017-01-09,95,0,74.34,7062.3,7062.3,0.0,69.35
CGNX,2017-01-09,537,0,31.99,17175.95,17175.95,0.0,13.43
IBM,2017-01-10,44,0,158.24,6962.6,6962.6,0.0,-129.92
HPQ,2017-01-10,480,0,14.69,7051.2,7051.2,0.0,-163.2
INTC,2017-01-10,191,0,36.54,6979.14,6979.14,0.0,-3.82
GE,2017-01-10,36,0,188.37,6781.48,6781.48,0.0,-76.88
AMD,2017-01-10,2099,0,11.44,24012.56,24012.56,0.0,125.94
COHU,2017-01-10,1229,0,13.49,16579.21,16579.21,0.0,-294.96
MSFT,2017-01-10,111,0,62.62,6950.82,6950.82,0.0,21.09
TXN,2017-01-10,95,0,74.6,7087.0,7087.0,0.0,94.05
CGNX,2017-01-10,537,0,32.85,17643.13,17643.13,0.0,480.61
IBM,2017-01-11,44,0,160.37,7056.41,7056.41,0.0,-36.11
HPQ,2017-01-11,480,0,14.94,7171.2,7171.2,0.0,-43.2
INTC,2017-01-11,191,0,36.95,7057.45,7057.45,0.0,74.49
GE,2017-01-11,36,0,188.97,6803.1,6803.1,0.0,-55.26
AMD,2017-01-11,2099,0,11.2,23508.8,23508.8,0.0,-377.82
COHU,2017-01-11,1229,0,13.52,16616.08,16616.08,0.0,-258.09
MSFT,2017-01-11,111,0,63.19,7014.09,7014.09,0.0,84.36
TXN,2017-01-11,95,0,75.2,7144.0,7144.0,0.0,151.05
CGNX,2017-01-11,537,0,32.76,17594.8,17594.8,0.0,432.28
IBM,2017-01-12,44,0,160.56,7064.82,7064.82,0.0,-27.7
HPQ,2017-01-12,480,0,14.79,7099.2,7099.2,0.0,-115.2
INTC,2017-01-12,191,0,36.71,7011.61,7011.61,0.0,28.65
GE,2017-01-12,36,0,188.49,6785.8,6785.8,0.0,-72.56
AMD,2017-01-12,2099,0,10.76,22585.24,22585.24,0.0,-1301.38
COHU,2017-01-12,1229,0,13.35,16407.15,16407.15,0.0,-467.02
MSFT,2017-01-12,111,0,62.61,6949.71,6949.71,0.0,19.98
TXN,2017-01-12,95,0,74.85,7110.75,7110.75,0.0,117.8
