date,cash,equity,margin,market_value,pnl,unrealized_pnl,fees
2020-01-02,10000.0,10000.0,0.0,10000.0,0.0,0.0,0.0
2020-01-03,138.52,9990.8,0.0,9990.8,-9.2,0.0,0.0
2020-01-06,138.52,10054.28,0.0,10054.28,54.28,0.0,0.0
2020-01-07,138.52,10052.9,0.0,10052.9,52.9,0.0,0.0
2020-01-08,138.52,10127.42,0.0,10127.42,127.42,0.0,0.0
2020-01-09,138.52,10212.06,0.0,10212.06,212.06,0.0,0.0
2020-01-10,138.52,10186.3,0.0,10186.3,186.3,0.0,0.0
2020-01-13,138.52,10302.22,0.0,10302.22,302.22,0.0,0.0
2020-01-14,138.52,10262.2,0.0,10262.2,262.2,0.0,0.0
2020-01-15,138.52,10266.34,0.0,10266.34,266.34,0.0,0.0
2020-01-16,138.52,10363.4,0.0,10363.4,363.4,0.0,0.0
2020-01-17,138.52,10414.0,0.0,10414.0,414.0,0.0,0.0
2020-01-21,138.52,10409.4,0.0,10409.4,409.4,0.0,0.0
2020-01-22,138.52,10436.54,0.0,10436.54,436.54,0.0,0.0
2020-01-23,138.52,10469.66,0.0,10469.66,469.66,0.0,0.0
2020-01-24,138.52,10382.72,0.0,10382.72,382.72,0.0,0.0
2020-01-27,138.52,10171.12,0.0,10171.12,171.12,0.0,0.0
2020-01-28,174.12,10279.6,0.0,10279.6,279.6,0.0,0.0
2020-01-29,79.07,10282.33,0.0,10282.33,282.33,0.0,0.0
2020-01-30,79.07,10318.67,0.0,10318.67,318.67,0.0,0.0
2020-01-31,79.07,10156.29,0.0,10156.29,156.29,0.0,0.0
2020-02-03,79.07,10308.55,0.0,10308.55,308.55,0.0,0.0
2020-02-04,218.51,10487.78,0.0,10487.78,487.78,0.0,0.0
2020-02-05,196.98,10466.88,0.0,10466.88,466.88,0.0,0.0
2020-02-06,196.98,10555.53,0.0,10555.53,555.53,0.0,0.0
2020-02-07,196.98,10510.98,0.0,10510.98,510.98,0.0,0.0
2020-02-10,196.98,10635.63,0.0,10635.63,635.63,0.0,0.0
2020-02-11,196.98,10637.43,0.0,10637.43,637.43,0.0,0.0
2020-02-12,196.98,10739.13,0.0,10739.13,739.13,0.0,0.0
2020-02-13,196.98,10725.63,0.0,10725.63,725.63,0.0,0.0
2020-02-14,196.98,10755.78,0.0,10755.78,755.78,0.0,0.0
2020-02-18,196.98,10759.83,0.0,10759.83,759.83,0.0,0.0
2020-02-19,196.98,10861.08,0.0,10861.08,861.08,0.0,0.0
2020-02-20,196.98,10762.08,0.0,10762.08,762.08,0.0,0.0
2020-02-21,196.98,10559.13,0.0,10559.13,559.13,0.0,0.0
2020-02-24,196.98,10159.53,0.0,10159.53,159.53,0.0,0.0
2020-02-25,196.98,9888.63,0.0,9888.63,-111.37,0.0,0.0
2020-02-26,196.98,9938.58,0.0,9938.58,-61.42,0.0,0.0
2020-02-27,196.98,9450.78,0.0,9450.78,-549.22,0.0,0.0
2020-02-28,196.98,9457.98,0.0,9457.98,-542.02,0.0,0.0
2020-03-02,277.78,9690.48,0.0,9690.48,-309.52,0.0,0.0
2020-03-03,277.78,9727.88,0.0,9727.88,-272.12,0.0,0.0
2020-03-04,68.43,9888.33,0.0,9888.33,-111.67,0.0,0.0
2020-03-05,68.43,9589.98,0.0,9589.98,-410.02,0.0,0.0
2020-03-06,68.43,9429.33,0.0,9429.33,-570.67,0.0,0.0
2020-03-09,5.67,8932.68,0.0,8932.68,-1067.32,0.0,0.0
2020-03-10,5.67,8893.54,0.0,8893.54,-1106.46,0.0,0.0
2020-03-11,5.67,8883.24,0.0,8883.24,-1116.76,0.0,0.0
2020-03-12,5.67,8881.18,0.0,8881.18,-1118.82,0.0,0.0
2020-03-13,451.26,8495.76,0.0,8495.76,-1504.24,0.0,0.0
2020-03-16,715.6,9184.76,0.0,9184.76,-815.24,0.0,0.0
2020-03-17,715.6,9165.16,0.0,9165.16,-834.84,0.0,0.0
2020-03-18,715.6,9154.38,0.0,9154.38,-845.62,0.0,0.0
2020-03-19,113.13,9164.49,0.0,9164.49,-835.51,0.0,0.0
2020-03-20,64.16,9232.1,0.0,9232.1,-767.9,0.0,0.0
2020-03-23,64.16,9242.7,0.0,9242.7,-757.3,0.0,0.0
2020-03-24,64.16,9229.98,0.0,9229.98,-770.02,0.0,0.0
2020-03-25,64.16,9240.58,0.0,9240.58,-759.42,0.0,0.0
2020-03-26,64.16,9251.18,0.0,9251.18,-748.82,0.0,0.0
2020-03-27,64.16,9249.06,0.0,9249.06,-750.94,0.0,0.0
2020-03-30,64.16,9253.3,0.0,9253.3,-746.7,0.0,0.0
2020-03-31,64.16,9251.18,0.0,9251.18,-748.82,0.0,0.0
2020-04-01,401.4,9152.28,0.0,9152.28,-847.72,0.0,0.0
2020-04-02,209.07,9306.27,0.0,9306.27,-693.73,0.0,0.0
2020-04-03,209.07,9304.17,0.0,9304.17,-695.83,0.0,0.0
2020-04-06,15.81,9446.85,0.0,9446.85,-553.15,0.0,0.0
2020-04-07,15.81,9443.01,0.0,9443.01,-556.99,0.0,0.0
2020-04-08,15.81,9643.17,0.0,9643.17,-356.83,0.0,0.0
2020-04-09,15.81,9657.09,0.0,9657.09,-342.91,0.0,0.0
2020-04-13,15.81,9761.25,0.0,9761.25,-238.75,0.0,0.0
2020-04-14,15.81,10185.09,0.0,10185.09,185.09,0.0,0.0
2020-04-15,15.81,10068.45,0.0,10068.45,68.45,0.0,0.0
2020-04-16,15.81,10251.81,0.0,10251.81,251.81,0.0,0.0
2020-04-17,15.81,10349.73,0.0,10349.73,349.73,0.0,0.0
2020-04-20,15.81,10227.33,0.0,10227.33,227.33,0.0,0.0
2020-04-21,15.81,9850.53,0.0,9850.53,-149.47,0.0,0.0
2020-04-22,15.81,10142.37,0.0,10142.37,142.37,0.0,0.0
2020-04-23,15.81,10120.77,0.0,10120.77,120.77,0.0,0.0
2020-04-24,15.81,10280.13,0.0,10280.13,280.13,0.0,0.0
2020-04-27,15.81,10362.69,0.0,10362.69,362.69,0.0,0.0
2020-04-28,15.81,10167.81,0.0,10167.81,167.81,0.0,0.0
2020-04-29,15.81,10527.81,0.0,10527.81,527.81,0.0,0.0
2020-04-30,15.81,10523.49,0.0,10523.49,523.49,0.0,0.0
2020-05-01,15.81,10227.33,0.0,10227.33,227.33,0.0,0.0
2020-05-04,15.81,10346.37,0.0,10346.37,346.37,0.0,0.0
2020-05-05,15.81,10463.49,0.0,10463.49,463.49,0.0,0.0
2020-05-06,15.81,10527.81,0.0,10527.81,527.81,0.0,0.0
2020-05-07,15.81,10663.17,0.0,10663.17,663.17,0.0,0.0
2020-05-08,15.81,10809.09,0.0,10809.09,809.09,0.0,0.0
2020-05-11,15.81,10905.57,0.0,10905.57,905.57,0.0,0.0
2020-05-12,15.81,10677.57,0.0,10677.57,677.57,0.0,0.0
2020-05-13,15.81,10544.13,0.0,10544.13,544.13,0.0,0.0
2020-05-14,15.81,10663.65,0.0,10663.65,663.65,0.0,0.0
2020-05-15,15.81,10732.77,0.0,10732.77,732.77,0.0,0.0
2020-05-18,15.81,10932.45,0.0,10932.45,932.45,0.0,0.0
2020-05-19,15.81,10905.09,0.0,10905.09,905.09,0.0,0.0
2020-05-20,15.81,11122.53,0.0,11122.53,1122.53,0.0,0.0
2020-05-21,15.81,11001.57,0.0,11001.57,1001.57,0.0,0.0
2020-05-22,15.81,11039.49,0.0,11039.49,1039.49,0.0,0.0
