id,type,symbol,entry_date,exit_date,entry,exit,shares,pnl,return_pct,agg_pnl,bars,pnl_per_bar,stop
1,long,QQQ,2020-01-03,2020-01-28,214.38,220.51,46,281.98,2.86,281.98,16,17.62,
2,long,SHY,2020-01-28,2020-01-29,84.94,84.97,119,3.57,0.04,285.55,1,3.57,
3,long,QQQ,2020-01-29,2020-02-04,221.88,226.25,46,201.02,1.97,486.57,4,50.26,
4,long,SHY,2020-02-04,2020-02-05,84.86,84.82,121,-4.84,-0.05,481.73,1,-4.84,
5,long,QQQ,2020-02-05,2020-03-02,228.55,211.26,45,-778.05,-7.57,-296.32,17,-45.77,
6,long,SHY,2020-03-02,2020-03-04,85.69,85.99,110,33.0,0.35,-263.32,2,16.5,
7,long,QQQ,2020-03-04,2020-03-09,214.85,196.64,45,-819.45,-8.48,-1082.77,3,-273.15,
8,long,SHY,2020-03-09,2020-03-13,86.52,86.13,103,-40.17,-0.45,-1122.94,4,-10.04,
9,long,PSQ,2020-03-13,2020-03-16,27.18,28.22,310,322.4,3.83,-800.54,1,322.4,
10,long,SHY,2020-03-16,2020-03-19,86.57,86.38,98,-18.62,-0.22,-819.16,3,-6.21,
11,long,PSQ,2020-03-19,2020-03-20,27.73,27.89,327,52.32,0.58,-766.84,1,52.32,
12,long,SHY,2020-03-20,2020-04-01,86.5,86.62,106,12.72,0.14,-754.12,8,1.59,
13,long,QQQ,2020-04-01,2020-04-02,184.26,185.54,48,61.44,0.69,-692.68,1,61.44,
14,long,SHY,2020-04-02,2020-04-06,86.65,86.58,105,-7.35,-0.08,-700.03,2,-3.68,
15,long,QQQ,2020-04-06,2020-06-16,193.42,241.75,48,2319.84,24.99,1619.81,49,47.34,
16,long,SHY,2020-06-16,2020-06-17,86.54,86.54,132,0.0,0.0,1619.81,1,0.0,
17,long,QQQ,2020-06-17,2020-06-30,244.11,245.37,47,59.22,0.52,1679.03,9,6.58,
18,long,SHY,2020-06-30,2020-07-01,86.61,86.54,133,-9.31,-0.08,1669.72,1,-9.31,
19,long,QQQ,2020-07-01,2022-01-25,249.3,346.35,46,4464.3,38.93,6134.02,395,11.3,
20,long,PSQ,2022-01-25,2022-02-02,12.38,11.64,1303,-964.22,-5.98,5169.8,6,-160.7,
21,long,QQQ,2022-02-02,2022-02-15,367.2,354.1,41,-537.1,-3.57,4632.7,9,-59.68,
22,long,PSQ,2022-02-15,2022-03-02,12.01,12.3,1172,339.88,2.41,4972.58,10,33.99,
23,long,SHY,2022-03-02,2022-03-03,84.52,84.44,177,-14.16,-0.09,4958.42,1,-14.16,
24,long,PSQ,2022-03-03,2022-03-04,12.26,12.53,1220,329.4,2.2,5287.82,1,329.4,
25,long,QQQ,2022-03-04,2022-03-07,338.12,331.57,44,-288.2,-1.94,4999.62,1,-288.2,
26,long,PSQ,2022-03-07,2022-03-18,12.77,12.13,1174,-751.36,-5.01,4248.26,9,-83.48,
27,long,QQQ,2022-03-18,2022-04-08,346.67,350.79,41,168.92,1.19,4417.18,15,11.26,
28,long,PSQ,2022-04-08,2022-05-25,11.92,14.16,1209,2708.16,18.79,7125.34,32,84.63,
29,long,SHY,2022-05-25,2022-05-31,83.44,83.35,205,-18.45,-0.11,7106.89,3,-6.15,
30,long,QQQ,2022-05-31,2022-06-13,307.83,278.43,55,-1617.0,-9.55,5489.89,9,-179.67,
31,long,PSQ,2022-06-13,2022-06-27,14.62,13.74,1059,-931.92,-6.02,4557.97,9,-103.55,
32,long,SHY,2022-06-27,2022-06-28,82.55,82.51,175,-7.0,-0.05,4550.97,1,-7.0,
33,long,QQQ,2022-06-28,2022-06-30,289.5,279.86,49,-472.36,-3.33,4078.61,2,-236.18,
34,long,PSQ,2022-06-30,2022-07-05,14.43,14.33,975,-97.5,-0.69,3981.11,2,-48.75,
35,long,SHY,2022-07-05,2022-07-07,82.97,82.67,168,-50.4,-0.36,3930.71,2,-25.2,
36,long,QQQ,2022-07-07,2022-07-14,292.67,283.68,47,-422.53,-3.07,3508.18,5,-84.51,
37,long,PSQ,2022-07-14,2022-07-18,14.22,13.79,949,-408.07,-3.02,3100.11,2,-204.04,
38,long,QQQ,2022-07-18,2022-08-23,292.18,315.16,44,1011.12,7.87,4111.23,26,38.89,
39,long,PSQ,2022-08-23,2022-10-19,12.74,14.65,1102,2104.82,14.99,6216.05,40,52.62,
40,long,QQQ,2022-10-19,2022-10-20,270.88,271.38,59,29.5,0.18,6245.55,1,29.5,
41,long,PSQ,2022-10-20,2022-10-25,14.63,14.07,1103,-617.68,-3.83,5627.87,3,-205.89,
42,long,QQQ,2022-10-25,2022-10-31,281.25,277.88,55,-185.35,-1.2,5442.52,4,-46.34,
43,long,SHY,2022-10-31,2022-11-01,80.99,80.88,190,-20.9,-0.14,5421.62,1,-20.9,
44,long,QQQ,2022-11-01,2022-11-04,278.4,262.84,55,-855.8,-5.59,4565.82,3,-285.27,
45,long,PSQ,2022-11-04,2022-11-11,15.06,13.82,949,-1176.76,-8.23,3389.06,5,-235.35,
46,long,QQQ,2022-11-11,2022-12-08,284.92,282.32,46,-119.6,-0.91,3269.46,18,-6.64,
47,long,SHY,2022-12-08,2022-12-14,81.38,81.53,161,24.15,0.18,3293.61,4,6.04,
48,long,QQQ,2022-12-14,2022-12-16,287.3,275.19,46,-557.06,-4.22,2736.55,2,-278.53,
