date,cash,equity,margin,market_value,pnl,unrealized_pnl,fees
2020-01-02,10000.0,10000.0,0.0,10000.0,0.0,0.0,0.0
2020-01-03,399.94,10056.93,0.0,10056.93,56.93,0.0,0.0
2020-01-06,399.94,10066.54,0.0,10066.54,66.54,0.0,0.0
2020-01-07,399.94,10082.28,0.0,10082.28,82.28,0.0,0.0
2020-01-08,399.94,10088.83,0.0,10088.83,88.83,0.0,0.0
2020-01-09,399.94,10168.92,0.0,10168.92,168.92,0.0,0.0
2020-01-10,399.94,10068.15,0.0,10068.15,68.15,0.0,0.0
2020-01-13,399.94,10261.99,0.0,10261.99,261.99,0.0,0.0
2020-01-14,399.94,10204.44,0.0,10204.44,204.44,0.0,0.0
2020-01-15,399.94,10163.86,0.0,10163.86,163.86,0.0,0.0
2020-01-16,269.2,10354.55,0.0,10354.55,354.55,0.0,0.0
2020-01-17,73.58,10456.86,0.0,10456.86,456.86,0.0,0.0
2020-01-21,73.58,10470.35,0.0,10470.35,470.35,0.0,0.0
2020-01-22,73.58,10484.37,0.0,10484.37,484.37,0.0,0.0
2020-01-23,73.58,10647.64,0.0,10647.64,647.64,0.0,0.0
2020-01-24,73.58,10558.77,0.0,10558.77,558.77,0.0,0.0
2020-01-27,73.58,10266.93,0.0,10266.93,266.93,0.0,0.0
2020-01-28,73.58,10483.58,0.0,10483.58,483.58,0.0,0.0
2020-01-29,73.58,10380.22,0.0,10380.22,380.22,0.0,0.0
2020-01-30,73.58,10409.74,0.0,10409.74,409.74,0.0,0.0
2020-01-31,73.58,10166.84,0.0,10166.84,166.84,0.0,0.0
2020-02-03,73.58,10307.89,0.0,10307.89,307.89,0.0,0.0
2020-02-04,20.05,10583.06,0.0,10583.06,583.06,0.0,0.0
2020-02-05,20.05,10759.3,0.0,10759.3,759.3,0.0,0.0
2020-02-06,20.05,10770.39,0.0,10770.39,770.39,0.0,0.0
2020-02-07,20.05,10684.44,0.0,10684.44,684.44,0.0,0.0
2020-02-10,20.05,10956.76,0.0,10956.76,956.76,0.0,0.0
2020-02-11,29.48,11052.72,0.0,11052.72,1052.72,0.0,0.0
2020-02-12,29.48,11159.86,0.0,11159.86,1159.86,0.0,0.0
2020-02-13,29.48,11052.95,0.0,11052.95,1052.95,0.0,0.0
2020-02-14,29.48,11049.19,0.0,11049.19,1049.19,0.0,0.0
2020-02-18,29.48,11061.91,0.0,11061.91,1061.91,0.0,0.0
2020-02-19,29.48,11193.32,0.0,11193.32,1193.32,0.0,0.0
2020-02-20,29.48,11011.19,0.0,11011.19,1011.19,0.0,0.0
2020-02-21,29.48,10628.91,0.0,10628.91,628.91,0.0,0.0
2020-02-24,29.48,10174.59,0.0,10174.59,174.59,0.0,0.0
2020-02-25,29.48,9972.23,0.0,9972.23,-27.77,0.0,0.0
2020-02-26,10.4,9908.9,0.0,9908.9,-91.1,0.0,0.0
2020-02-27,10.4,9412.5,0.0,9412.5,-587.5,0.0,0.0
2020-02-28,10.4,9513.27,0.0,9513.27,-486.73,0.0,0.0
2020-03-02,381.03,9821.42,0.0,9821.42,-178.58,0.0,0.0
2020-03-03,92.31,9450.97,0.0,9450.97,-549.03,0.0,0.0
2020-03-04,121.16,9882.24,0.0,9882.24,-117.76,0.0,0.0
2020-03-05,44.02,9564.21,0.0,9564.21,-435.79,0.0,0.0
2020-03-06,103.93,9365.34,0.0,9365.34,-634.66,0.0,0.0
2020-03-09,115.59,8499.46,0.0,8499.46,-1500.54,0.0,0.0
2020-03-10,17.74,8870.88,0.0,8870.88,-1129.12,0.0,0.0
2020-03-11,17.74,8495.39,0.0,8495.39,-1504.61,0.0,0.0
2020-03-12,11.94,7422.97,0.0,7422.97,-2577.03,0.0,0.0
2020-03-13,11.94,8226.92,0.0,8226.92,-1773.08,0.0,0.0
2020-03-16,21.2,7137.19,0.0,7137.19,-2862.81,0.0,0.0
2020-03-17,61.1,7713.13,0.0,7713.13,-2286.87,0.0,0.0
2020-03-18,21.02,7021.15,0.0,7021.15,-2978.85,0.0,0.0
2020-03-19,15.93,7121.01,0.0,7121.01,-2878.99,0.0,0.0
2020-03-20,12.98,7074.41,0.0,7074.41,-2925.59,0.0,0.0
2020-03-23,12.98,7210.3,0.0,7210.3,-2789.7,0.0,0.0
2020-03-24,28.72,7850.5,0.0,7850.5,-2149.5,0.0,0.0
2020-03-25,38.86,7830.96,0.0,7830.96,-2169.04,0.0,0.0
2020-03-26,34.42,8457.17,0.0,8457.17,-1542.83,0.0,0.0
2020-03-27,31.23,7944.64,0.0,7944.64,-2055.36,0.0,0.0
2020-03-30,31.23,8301.0,0.0,8301.0,-1699.0,0.0,0.0
2020-03-31,31.23,8098.2,0.0,8098.2,-1901.8,0.0,0.0
2020-04-01,31.23,7579.05,0.0,7579.05,-2420.95,0.0,0.0
2020-04-02,0.67,7689.74,0.0,7689.74,-2310.26,0.0,0.0
2020-04-03,0.67,7523.92,0.0,7523.92,-2476.08,0.0,0.0
2020-04-06,0.67,8284.22,0.0,8284.22,-1715.78,0.0,0.0
2020-04-07,0.67,8236.11,0.0,8236.11,-1763.89,0.0,0.0
2020-04-08,0.67,8525.37,0.0,8525.37,-1474.63,0.0,0.0
2020-04-09,0.67,8550.68,0.0,8550.68,-1449.32,0.0,0.0
2020-04-13,0.67,8687.9,0.0,8687.9,-1312.1,0.0,0.0
2020-04-14,0.67,9142.14,0.0,9142.14,-857.86,0.0,0.0
2020-04-15,9.44,8864.94,0.0,8864.94,-1135.06,0.0,0.0
2020-04-16,6.5,9058.63,0.0,9058.63,-941.37,0.0,0.0
2020-04-17,6.5,9240.79,0.0,9240.79,-759.21,0.0,0.0
2020-04-20,6.5,9111.83,0.0,9111.83,-888.17,0.0,0.0
2020-04-21,6.5,8593.33,0.0,8593.33,-1406.67,0.0,0.0
2020-04-22,61.82,8947.5,0.0,8947.5,-1052.5,0.0,0.0
2020-04-23,5.85,8936.06,0.0,8936.06,-1063.94,0.0,0.0
2020-04-24,5.85,9047.7,0.0,9047.7,-952.3,0.0,0.0
2020-04-27,5.85,9154.59,0.0,9154.59,-845.41,0.0,0.0
2020-04-28,5.85,9166.39,0.0,9166.39,-833.61,0.0,0.0
2020-04-29,22.1,9443.74,0.0,9443.74,-556.26,0.0,0.0
2020-04-30,37.94,9220.08,0.0,9220.08,-779.92,0.0,0.0
2020-05-01,23.02,8753.52,0.0,8753.52,-1246.48,0.0,0.0
2020-05-04,23.02,8889.46,0.0,8889.46,-1110.54,0.0,0.0
2020-05-05,23.02,8952.06,0.0,8952.06,-1047.94,0.0,0.0
2020-05-06,8.2,8893.24,0.0,8893.24,-1106.76,0.0,0.0
2020-05-07,8.2,8947.96,0.0,8947.96,-1052.04,0.0,0.0
2020-05-08,23.68,9095.65,0.0,9095.65,-904.35,0.0,0.0
2020-05-11,0.26,9135.22,0.0,9135.22,-864.78,0.0,0.0
2020-05-12,0.26,8888.88,0.0,8888.88,-1111.12,0.0,0.0
2020-05-13,0.26,8609.77,0.0,8609.77,-1390.23,0.0,0.0
2020-05-14,0.26,8777.58,0.0,8777.58,-1222.42,0.0,0.0
2020-05-15,0.26,8751.53,0.0,8751.53,-1248.47,0.0,0.0
2020-05-18,0.26,9169.86,0.0,9169.86,-830.14,0.0,0.0
2020-05-19,16.91,9259.19,0.0,9259.19,-740.81,0.0,0.0
2020-05-20,34.2,9457.18,0.0,9457.18,-542.82,0.0,0.0
2020-05-21,34.2,9321.45,0.0,9321.45,-678.55,0.0,0.0
2020-05-22,51.11,9332.93,0.0,9332.93,-667.07,0.0,0.0
