,0
2016-10-12,
2016-10-13,
2016-10-14,
2016-10-17,
2016-10-18,
2016-10-19,
2016-10-20,
2016-10-21,
2016-10-24,
2016-10-25,
2016-10-26,
2016-10-27,
2016-10-28,
2016-10-31,
2016-11-01,
2016-11-02,
2016-11-03,
2016-11-04,
2016-11-07,
2016-11-08,
2016-11-09,
2016-11-10,
2016-11-11,
2016-11-14,
2016-11-15,
2016-11-16,
2016-11-17,
2016-11-18,
2016-11-21,
2016-11-22,
2016-11-23,
2016-11-25,
2016-11-28,
2016-11-29,
2016-11-30,
2016-12-01,
2016-12-02,
2016-12-05,
2016-12-06,
2016-12-07,
2016-12-08,39.361709746277576
2016-12-09,38.618126737914224
2016-12-12,39.09018477814964
2016-12-13,39.80242339063442
2016-12-14,40.20086548448963
2016-12-15,39.2418527142329
2016-12-16,40.136939491267356
2016-12-19,38.0712923927665
2016-12-20,37.94452947920155
2016-12-21,37.559720999174935
2016-12-22,39.53046751041159
2016-12-23,39.313842919761505
2016-12-27,38.66197047625507
2016-12-28,40.39370360724282
2016-12-29,41.01853525807054
2016-12-30,42.94077044946853
2017-01-03,39.20457987330116
2017-01-04,36.52864597105321
2017-01-05,37.00969898865917
2017-01-06,36.02943735387409
2017-01-09,35.569319149175826
2017-01-10,35.26904045624382
2017-01-11,34.759711136142606
2017-01-12,35.75453179894462
2017-01-13,37.4556979509343
2017-01-17,38.74496644713566
2017-01-18,37.591280103360646
2017-01-19,37.312727839604904
2017-01-20,35.474507751302156
2017-01-23,35.45061912272639
2017-01-24,32.468715767618164
2017-01-25,31.252396458133084
2017-01-26,32.12172095939416
2017-01-27,32.515582090443885
2017-01-30,33.569833187019746
2017-01-31,33.10570082828028
2017-02-01,31.899435787907176
2017-02-02,32.88478980809346
2017-02-03,32.29657913420245
2017-02-06,32.43429963092777
2017-02-07,32.80814869966567
2017-02-08,33.794377659605516
2017-02-09,33.05969202488828
2017-02-10,32.94122649420592
2017-02-13,32.046098402300025
2017-02-14,29.87677657760159
2017-02-15,28.49775450136851
2017-02-16,29.560968540387382
2017-02-17,29.499621820487032
2017-02-21,30.6800247106917
2017-02-22,32.373636030484484
2017-02-23,35.73251048633607
2017-02-24,37.136293802023125
2017-02-27,35.44871461368823
2017-02-28,35.58116959536506
2017-03-01,35.18621486244802
2017-03-02,36.717188787850205
2017-03-03,35.16372032866822
2017-03-06,34.440571054649936
2017-03-07,34.76164680606158
2017-03-08,34.73671503704869
2017-03-09,34.38270017614597
2017-03-10,33.82707238218002
2017-03-13,33.64960376141464
2017-03-14,34.60468117635231
2017-03-15,33.663034966529864
2017-03-16,32.21451010508758
2017-03-17,31.566000184312248
2017-03-20,31.397926689557785
2017-03-21,34.26957649782488
2017-03-22,34.217109436335235
2017-03-23,35.878431897114055
2017-03-24,34.91913211883733
2017-03-27,32.88372232328795
2017-03-28,31.45546228497246
2017-03-29,30.570281148720298
2017-03-30,30.30118681412521
2017-03-31,30.30118681412521
2017-04-03,30.56906349576012
2017-04-04,29.70262241055599
2017-04-05,31.479206633623868
2017-04-06,30.825475101673355
2017-04-07,32.632388880176826
2017-04-10,34.79049212379011
2017-04-11,36.528337519246804
2017-04-12,35.529439747023105
2017-04-13,37.00187624038189
2017-04-17,34.72437004594459
2017-04-18,34.87121364963816
2017-04-19,35.12069478947212
2017-04-20,34.02453801254111
2017-04-21,33.63067338304507
2017-04-24,31.746105880962737
2017-04-25,30.151795544148797
2017-04-26,31.179289237404483
2017-04-27,30.9922510245533
2017-04-28,30.802733759784655
2017-05-01,29.049152406692595
2017-05-02,30.265384446862875
2017-05-03,31.159960954671796
2017-05-04,31.08778231857217
2017-05-05,31.251114894137505
2017-05-08,32.40145713108903
2017-05-09,32.785952963663405
2017-05-10,33.77934405249879
2017-05-11,33.19233937041886
2017-05-12,34.580412045032276
2017-05-15,33.972299914477844
2017-05-16,35.03247662389729
2017-05-17,41.92824685231073
2017-05-18,39.9293375116577
2017-05-19,38.437680466468585
2017-05-22,36.85606705003747
2017-05-23,37.654799997357955
2017-05-24,37.341331714225866
2017-05-25,37.110884238584475
2017-05-26,37.259798898383124
2017-05-30,36.0063639559788
2017-05-31,36.10889803289013
2017-06-01,35.382105315382354
2017-06-02,35.541789221955895
2017-06-05,35.48183516944423
2017-06-06,37.325181350168364
2017-06-07,37.10134686736362
2017-06-08,35.902579870030195
2017-06-09,36.23622965449885
2017-06-12,36.798577093646166
2017-06-13,35.95302206717431
2017-06-14,35.281444375702165
2017-06-15,35.399317795315035
2017-06-16,34.46578399682741
2017-06-19,32.75499548327097
2017-06-20,33.77844036053186
2017-06-21,33.16929823687092
2017-06-22,34.08368798770301
2017-06-23,33.21366459968933
2017-06-26,31.8440218110022
2017-06-27,33.55463157236551
2017-06-28,32.53756940881638
2017-06-29,34.162917456407
2017-06-30,33.91460891451439
2017-07-03,34.524737571873786
2017-07-05,34.77179297178441
2017-07-06,38.74275365546917
2017-07-07,37.8951837590353
2017-07-10,36.041910392396595
2017-07-11,35.5875309426545
2017-07-12,34.28911403270882
2017-07-13,33.82602014158941
2017-07-14,32.82568471116104
2017-07-17,31.68973570135006
2017-07-18,32.97076240078898
2017-07-19,32.82046264499891
2017-07-20,32.54655161649144
2017-07-21,32.453950606358184
2017-07-24,31.355960862085603
2017-07-25,31.325771652891138
2017-07-26,30.89853368799094
2017-07-27,30.744941744076353
2017-07-28,30.74494174407636
2017-07-31,30.176867171154587
2017-08-01,29.133990609529846
2017-08-02,30.368040620714577
2017-08-03,33.108818528711986
2017-08-04,33.72623973816365
2017-08-07,33.58493440836986
2017-08-08,36.841853581300015
2017-08-09,38.95278738485087
2017-08-10,43.58263972432726
2017-08-11,48.17514352361986
2017-08-14,41.28191824659624
2017-08-15,41.28191824659625
2017-08-16,40.50293008788171
2017-08-17,47.562832670813584
2017-08-18,46.29513122750047
2017-08-21,45.36504293227487
2017-08-22,42.3888421361344
2017-08-23,43.50448156348703
2017-08-24,43.9988293468296
2017-08-25,43.900331058417905
2017-08-28,43.43494097001398
2017-08-29,44.17202929884746
2017-08-30,44.033554344060306
2017-08-31,43.40554916109377
2017-09-01,43.020973707660595
2017-09-05,45.19419513413457
2017-09-06,45.76876118542152
2017-09-07,45.768761185421525
2017-09-08,47.76286608062514
2017-09-11,45.47612282600566
2017-09-12,44.280223747403866
2017-09-13,42.70939976728338
2017-09-14,43.39589851037371
2017-09-15,43.00827622743708
2017-09-18,40.99393928740618
2017-09-19,42.17102700849424
2017-09-20,41.59235797588933
2017-09-21,41.881054297247815
2017-09-22,42.84682415944038
2017-09-25,42.81034184092377
2017-09-26,42.11162422628019
2017-09-27,41.96373315096153
2017-09-28,41.77564908219542
2017-09-29,41.05840528629584
2017-10-02,39.55535624185984
2017-10-03,39.26767764376054
2017-10-04,39.26767764376054
2017-10-05,38.06635789871915
2017-10-06,38.64969995835818
2017-10-09,40.3776053636972
2017-10-10,39.354460864036675
2017-10-11,38.61115492722484
2017-10-12,38.573791751738064
2017-10-13,37.63988245481814
2017-10-16,36.375312121588166
2017-10-17,36.1263451306237
2017-10-18,36.57160560448642
2017-10-19,36.165275974293884
2017-10-20,35.32363453725774
2017-10-23,37.08647202888482
2017-10-24,37.60330323424193
2017-10-25,39.51439985253576
2017-10-26,38.823304623454355
2017-10-27,36.767114855155846
2017-10-30,36.89645801397644
2017-10-31,36.212662219560514
2017-11-01,36.74702844319464
2017-11-02,37.35258779559067
2017-11-03,38.028689413747294
2017-11-06,38.23380228423226
2017-11-07,39.33216178137421
2017-11-08,39.94824363606261
2017-11-09,41.240256242828856
2017-11-10,43.6612265239447
